abseil-cpp 20260526.0-2
espeakup 0.90-4
ethtool 1:7.1-1
exfatprogs 1.4.3-1
exo 4.20.0-2
expat 2.8.3-1
f2fs-tools 1.16.0-3
fakeroot 1:1.37.2-3
fatresize 1.1.0-2
fcft 3.3.3-1
ffmpeg 2:9.0.1-1
ffmpegthumbnailer 2.3.0-2
fftw 3.3.11-1
file 5.48-1
file-roller 44.7-1
filesystem 2025.10.12-1
findutils 4.11.0-1
firejail 0.9.80-1
flac 1.5.0-1
flatpak 1:1.18.1-1
flex 2.6.4-6
fmt 12.2.0-1
fontconfig 2:2.18.3-1
foot 1.27.0-2
foot-terminfo 1.27.0-2
freetype2 2.14.3-1
fribidi 1.0.16-2
fsarchiver 0.8.9-1
fuse-common 3.18.2-1
fuse2 2.9.9-6
fuse3 3.18.2-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr-4 4.4.0.1-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
ghostty-terminfo 1.3.1-2
giflib 6.1.3-2
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glibmm 2.66.10-1
glibmm-2.68 2.88.1-1
glslang 1:1.4.357.0-1
glycin 2.1.5-2
gmp 6.3.0-3
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-2
gobject-introspection-runtime 1.86.0-2
gpart 0.3-6
gperftools 2.18.1-1
gpgme 2.1.2-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
gptfdisk 1.0.10-2
granite7 7.8.1-1
graphene 1.10.8-2
graphite 1:1.3.15-1
greetd 0.10.3-2
greetd-agreety 0.10.3-2
greetd-tuigreet 0.9.1-2
grep 3.12-2
grim 1.5.0-2
grml-zsh-config 0.20.1-1
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gssdp 1.6.6-1
gssproxy 0.9.2-3
gst-plugins-bad-libs 1.28.6-1
gst-plugins-base-libs 1.28.6-1
gstreamer 1.28.6-1
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvfs 1.60.2-1
gzip 1.14-2
harfbuzz 14.3.1-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hwdata 0.410-1
hwloc 2.14.0-1
hyperv 7.1.8-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hypridle 0.1.8-1
hyprland 0.56.2-1
hyprland-guiutils 0.2.2-2
hyprland-qt-support 0.1.0-13
hyprlang 0.6.8-5
hyprlock 0.9.6-2
hyprpaper 0.8.4-6
hyprpolkitagent 0.1.3-9
hyprtoolkit 0.5.4-4
hyprutils 0.14.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
iana-etc 20260530-1
icu 78.3-1
imagemagick 7.1.2.29-2
impala 0.7.4-1
iniparser 4.2.6-2
intel-gmmlib 22.10.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
irssi 1.4.5-5
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jansson 2.15.0-1
jbigkit 2.1-8
jemalloc 1:5.3.1-3
jfsutils 1.1.15-9
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kbd 2.10.0-1
keepassxc 2.7.12-4
keyutils 1.6.3-4
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kmod 34.2-1
kmscon-terminfo 10.0.1-1
krb5 1.22.2-1
l-smash 2.14.5-4
lame 4.0-1
layer-shell-qt 6.7.4-1
lbzip2 2.5-6
lcms2 2.19.1-1
ldns 1.9.2-1
leancrypto 1.8.0-1
less 1:704-1
lftp 4.9.3-2
libadwaita 1:1.9.3-1
libaio 0.3.113-4
libappindicator 12.10.1-1
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libavc1394 0.5.4-7
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdbusmenu-lxqt 0.4.0-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdnet 1.18.2-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libdwarf 1:2.3.2-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfido2 1.17.0-1
libfm-extra 1.4.1-1
libfm-qt 2.4.0-2
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.2-1
libgee 0.20.8-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libglvnd 1.7.0-3
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgtop 2.41.3-2
libgudev 238-3
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libksba 1.8.0-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblouis 3.38.0-1
liblqr 0.4.3-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmaxminddb 1.13.3-1
libmbim 1.34.0-1
libmd 1.2.0-1
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpdclient 2.27-1
libmspack 1:1.11-2
libmysofa 1.3.4-1
libnautilus-extension 50.2.2-1
libndp 1.9-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.58.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libntfs-3g 2026.7.7-1
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libogg 1.3.6-1
libopenmpt 0.8.8-1
libotr 4.1.1-6
libp11-kit 0.26.5-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplist 2.7.0-3
libpng 1.6.58-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqb 2.0.10-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libqtxdg 4.4.0-2
libquadmath 16.2.1+r23+gd564253eb6c8-1
libraqm 0.11.0-1
libraw1394 2.1.2-4
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspeechd 0.12.1-3
libssh 0.12.2-1
libssh2 1.11.1-7
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtool 2.6.2-5
libtorrent-rasterbar 1:2.1.1-2
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.15-1
libusb 1.0.30-1
libusb-compat 0.1.9-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.24.1-1
libva-intel-driver 2.4.5-1
libva-utils 2.24.0-1
libvdpau 1.5-4
libverto 0.3.2-6
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libwacom 2.19.1-1
libwbclient 2:4.24.6-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmp 4.7.2-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
linux 7.1.8.arch1-3
linux-api-headers 7.2-1
linux-atm 2.5.2-9
linux-firmware 20260810-2
linux-firmware-amdgpu 20260810-2
linux-firmware-atheros 20260810-2
linux-firmware-broadcom 20260810-2
linux-firmware-cirrus 20260810-2
linux-firmware-intel 20260810-2
linux-firmware-marvell 20260810-2
linux-firmware-mediatek 20260810-2
linux-firmware-nvidia 20260810-2
linux-firmware-other 20260810-2
linux-firmware-radeon 20260810-2
linux-firmware-realtek 20260810-2
linux-firmware-whence 20260810-2
linux-hardened 7.1.8.hardened1-2
livecd-sounds 1.0-3
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lrzip 0.660-1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2
lua 5.5.1-1
lua54 5.4.8-6
lv2 1.18.10-2
lvm2 2.03.42-1
lxqt-menu-data 2.4.0-1
lxqt-qtplugin 2.4.0-2
lynis 3.1.7-1
lynx 2.9.3-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.21-2
macchanger 1.7.0-6
make 4.4.1-3
mako 1.11.0-1
man-db 2.13.1-2
man-pages 6.18-1
mc 4.8.33-1
md4c 0.5.3-1
mdadm 4.6-2
meek 0.38.0-3
memtest86+ 7.20-2
memtest86+-efi 7.20-2
menu-cache 1.1.1-2
mesa 1:26.1.7-1
minizip 1:1.3.2-3
mkinitcpio 41.1-1
mkinitcpio-archiso 73-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mmc-utils 1.0-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
muparser 2.3.5-2
nano 9.2-1
nbd 3.27.1-4
ncurses 6.6-2
ndisc6 1.0.8-1
net-tools 2.10-3
nettle 4.0-1
nettle3 3.10.2-2
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
nfs-utils 2.9.2-1
nfsidmap 2.9.2-1
nftables 1:1.1.6-3
nilfs-utils 2.3.1-1
nm-connection-editor 1.36.0-2
nmap 7.991-1
noto-fonts 1:2026.08.01-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.127-1
ntfs-3g 2026.7.7-1
ntfsprogs 2026.7.7-1
numactl 2.0.19-1
nvme-cli 2.16-2
nwg-dock-hyprland 0.4.11-1
nwg-look 1.1.1-3
oath-toolkit 2.6.14-4
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
open-iscsi 2.1.12-1
open-isns 0.103-1
open-vm-tools 6:13.1.0-3
openconnect 1:9.21-1
opencore-amr 0.1.6-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openpgp-card-tools 0.11.13-1
openssh 10.5p1-1
openssl 3.6.3-1
openvpn 2.7.6-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.42-1
ostree 2026.3-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-4
pango 1:1.58.2-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
papirus-icon-theme 20260801-1
partclone 0.3.48-1
parted 3.7-1
partimage 0.6.9-16
patch 2.8-1
pavucontrol 1:6.2-1
pbzip2 1.1.13-5
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcmanfm-qt 2.4.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-2
pigz 2.8-2
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pixz 1.0.7-5
pkcs11-helper 1.31.0-1
pkgconf 3.0.5-1
playerctl 2.4.1-5
polkit 127-3
polkit-qt6 0.201.1-1
popt 1.19-2
portaudio 1:19.7.0-4
ppp 2.5.3-1
pps-tools 1.0.3-2
pptpclient 1.10.0-3
procps-ng 4.0.7-1
protobuf 35.1-1
psmisc 23.7-2
pugixml 1.16-1
pv 1.11.0-1
pyside6 6.11.1-4
python 3.14.7-1
python-annotated-types 0.8.0-1
python-attrs 26.1.0-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.4.7-1
python-cryptography 50.0.0-1
python-filelock 3.29.3-1
python-gobject 3.56.3-1
python-gpgme 2.0.0-2
python-idna 3.18-1
python-legacy-cgi 2.6.4-2
python-linkify-it-py 2.1.0-1
python-markdown-it-py 4.2.0-1
python-mdit_py_plugins 0.6.1-1
python-mdurl 0.1.2-9
python-packaging 26.3-1
python-pefile 2024.8.26-2
python-pip 26.2.1-1
python-platformdirs 4.11.3-1
python-pycparser 3.00-1
python-pydantic 2.13.4-1
python-pydantic-core 3:2.46.4-1
python-pygments 2.20.0-1
python-pyparted 3.13.0-6
python-pysocks 1.7.1-12
python-requests 2.34.2-1
python-rich 15.0.0-1
python-textual 8.2.8-2
python-typing-inspection 0.4.4-1
python-typing_extensions 4.16.0-1
python-uc-micro-py 2.0.0-1
python-urllib3 2.7.0-1
python-wheel 0.48.0-1
qemu-guest-agent 11.1.0-1
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-svg 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt5-x11extras 5.15.19-1
qt6-base 6.11.1-1
qt6-declarative 6.11.1-3
qt6-svg 6.11.1-1
qt6-translations 6.11.1-1
qt6-wayland 6.11.1-1
qt6ct 0.11-7
quickshell 0.3.0-2
rav1e 0.8.1-3
re2 2:2025.11.05-5
readline 8.3.003-1
refind 0.14.2-3
reflector 2023-5
restic 0.19.1-1
rpcbind 1.2.9-1
rsync 3.5.0-1
rubberband 4.0.0-2
rxvt-unicode-terminfo 9.31-9
sbc 2.2-1
sbctl 0.18-2
screen 5.0.2-2
sdbus-cpp 2.3.1-1
sdl2-compat 2.32.70-1
sdl2_mixer 2.8.2-1
sdl2_net 2:2.4.0-1
sdl3 3.4.14-1
sdparm 1.12-1
seatd 0.9.3-1
sed 4.10-2
sequoia-sq 1.4.0-2
serd 0.32.10-1
sg3_utils 1.49-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
shiboken6 6.11.1-4
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
squashfs-tools 4.7.5-1
sratom 0.6.22-1
srt 1.5.6-1
sshfs 3.7.6-1
startup-notification 0.12-9
stoken 0.92-6
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
swappy 1.8.0-1
swaync 0.12.6-1
sysfsutils 2.1.1-2
syslinux 6.04.pre3.r3.g05ac953c-5
systemd 261.2-1
systemd-libs 261.2-1
systemd-resolvconf 261.2-1
systemd-sysvcompat 261.2-1
systemd-ukify 261.2-1
talloc 2.5.0-1
tar 1.35-3
tcl 8.6.16-1
tcpdump 4.99.6-1
tdb 1.4.15-1
terminus-font 4.49.1-8
testdisk 7.2-4
texinfo 7.3-1
thin-provisioning-tools 1.3.3-1
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
tinysparql 3.11.1-1
tmux 3.7_c-1
tomlplusplus 3.4.0-2
tor 0.4.9.11-1
torbrowser-launcher 0.3.9-1
torsocks 2.5.0-1
tpm2-tools 5.8-1
tpm2-tss 4.2.0-2
tslib 1.24-1
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-liberation 2.1.5-2
tumbler 4.20.2-1
tzdata 2026c-1
udftools 2.3-3
udisks2 2.11.2-1
upower 1.91.3-1
uriparser 1.0.2-1
usb_modeswitch 2.6.2.20251207-1
usbguard 1.1.4-8
usbmuxd 1.1.1-4
usbutils 019-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vid.stab 1.1.1-3
vim 9.2.0849-1
vim-runtime 9.2.0849-1
virtualbox-guest-utils-nox 7.2.16-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vpnc 1:0.5.3.r557.r241-1
vulkan-icd-loader 1.4.357.0-1
vulkan-intel 1:26.1.7-1
vulkan-mesa-implicit-layers 1:26.1.7-1
waybar 0.15.0-2
wayland 1.26.0-1
wayland-protocols 1.49-1
webrtc-audio-processing-1 1.3-5
which 2.25-1
wireguard-tools 1.0.20260223-1
wireless-regdb 2026.05.30-1
wireless_tools 30.pre9-5
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
woff2-font-awesome 7.3.1-1
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
wvdial 1.61-10
wvstreams 4.6.1-21
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-9
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xfconf 4.20.0-2
xfsprogs 7.1.1-1
xkeyboard-config 2.48-1
xl2tpd 1.3.20-1
xmlsec 1.3.12-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-2
zix 0.8.2-1
zlib 1:1.3.2-3
zram-generator 1.2.1-1
zsh 5.9.2-1
zstd 1.5.7-3
